start_time,item_nr,elem_nr,item_right,item_right_percentage,elem_right,elem_right_percentage,item_right_without_unknown,item_right_without_unknown_percentage,elem_right_without_unknown,elem_right_without_knonown_percentage,sp00,sp01,sp02,sp03,sp10,sp11,sp12,sp13,sp20,sp21,sp22,sp23,sp30,sp31,sp32,sp33,spun,s0,s1,s2,s3,p0,p1,p2,p3,unknown_percentage
635,855,5130,623,0.728654971,4361,0.850097466,670,0.783625731,4645,0.90545809,3602,131,5,18,225,598,32,2,19,38,152,2,5,3,5,9,284,0.958998935,0.697782964,0.720379147,0.409090909,0.93534147,0.776623377,0.783505155,0.290322581,0.055360624
640,855,5130,597,0.698245614,4306,0.839376218,644,0.753216374,4588,0.894346979,3519,143,5,22,232,622,34,4,41,45,156,4,1,1,10,9,282,0.953917051,0.697309417,0.634146341,0.428571429,0.927761666,0.766954377,0.76097561,0.230769231,0.05497076
645,855,5130,567,0.663157895,4278,0.833918129,614,0.718128655,4560,0.888888889,3471,139,1,0,283,621,39,0,41,56,168,4,2,3,2,18,282,0.961229576,0.658536585,0.624535316,0.72,0.914142744,0.758241758,0.8,0.818181818,0.05497076
650,855,5130,566,0.661988304,4208,0.820272904,613,0.716959064,4490,0.875243665,3406,99,3,0,344,603,45,0,65,74,185,0,2,2,6,14,282,0.970923603,0.607862903,0.570987654,0.583333333,0.892323815,0.775064267,0.774058577,1,0.05497076
655,855,5130,566,0.661988304,4167,0.812280702,613,0.716959064,4449,0.867251462,3302,122,2,0,312,659,47,0,88,97,193,2,2,4,5,13,282,0.963806188,0.647347741,0.507894737,0.541666667,0.891468683,0.747165533,0.781376518,0.866666667,0.05497076
700,855,5130,549,0.642105263,4132,0.80545809,596,0.697076023,4414,0.86042885,3211,152,2,0,309,676,40,3,81,114,230,5,3,4,3,15,282,0.95423477,0.657587549,0.534883721,0.6,0.890954495,0.714587738,0.836363636,0.652173913,0.05497076
705,855,5130,563,0.658479532,4117,0.802534113,610,0.713450292,4399,0.857504873,3161,149,3,0,343,651,66,0,63,93,292,3,0,2,9,13,282,0.954120133,0.614150943,0.647450111,0.541666667,0.886178862,0.727374302,0.789189189,0.8125,0.05497076
710,855,5130,570,0.666666667,4154,0.809746589,618,0.722807018,4437,0.864912281,3128,154,7,0,312,706,61,0,36,107,308,6,0,4,6,12,283,0.951048951,0.654309546,0.673960613,0.545454545,0.899884925,0.727085479,0.806282723,0.666666667,0.055165692
715,855,5130,572,0.669005848,4158,0.810526316,620,0.725146199,4442,0.86588694,3161,129,10,0,327,662,79,0,42,87,325,8,0,2,4,10,284,0.957878788,0.619850187,0.703463203,0.625,0.895467422,0.752272727,0.777511962,0.555555556,0.055360624
720,855,5130,562,0.657309942,4202,0.819103314,610,0.713450292,4487,0.874658869,3139,170,29,0,194,754,119,0,24,93,300,9,0,2,3,9,285,0.940383463,0.706654171,0.704225352,0.642857143,0.935061066,0.739941119,0.66518847,0.5,0.055555556
